Price (Cr),Location,Area (Marla),Bedrooms,Bathrooms
19.5,F-11,20.0,6,6
32.0,F-11,20.0,7,7
0.52,I-16,4.1,2,2
11.5,DHA Defence,20.0,6,6
13.23,F-10,11.7,4,5
33.0,F-8,24.0,6,6
45.0,F-8,40.0,9,7
18.0,G-9,12.0,7,7
9.3,DHA Defence,20.0,6,6
65.0,F-6,40.0,9,6
0.73,Top City 1,2.3,1,1
3.55,G-13,4.0,4,3
3.5,G-14,4.0,4,4
2.9,G-13,4.0,4,4
7.1,G-13,8.0,5,6
3.7,G-14,4.0,4,5
70.0,G-6,66.0,6,7
9.7,F-11,9.3,7,7
100.0,F-7,80.0,11,7
40.0,F-7,20.0,9,7
50.0,G-6,48.0,6,7
135.0,F-7,80.0,11,7
0.98,Faisal Town,6.0,2,2
3.8,G-16,7.0,5,6
35.0,F-10,40.0,8,7
5.5,G-9,6.0,5,5
5.5,G-9,6.0,4,4
11.5,G-9,14.0,6,6
11.5,G-9,12.0,6,6
19.0,D-12,20.0,7,6
5.65,Bahria Enclave,10.0,5,6
0.75,Burma Town,5.0,2,2
1.65,DHA Valley,8.0,3,3
2.35,G-15,8.5,3,3
12.2,DHA Defence,20.0,7,6
28.5,D-12,20.0,8,6
3.15,G-13,4.0,4,4
1.4,D-12,4.2,2,2
9.95,DHA Defence,20.0,5,6
13.5,DHA Defence,20.0,5,6
11.5,DHA Defence,20.0,6,6
2.7,B-17,5.0,4,5
9.5,Naval Anchorage,20.0,6,6
2.35,B-17,5.0,4,5
6.5,G-13,7.0,4,4
2.3,B-17,5.0,4,5
2.8,B-17,5.0,4,5
2.5,B-17,5.0,4,5
2.25,B-17,5.0,4,5
4.1,DHA Defence,13.3,4,5
3.0,Soan Garden,8.0,4,4
2.5,I-10,4.0,7,4
1.35,DHA Valley,8.0,3,3
6.5,F-10,7.8,3,3
0.75,Top City 1,2.4,1,1
3.05,DHA Defence,10.0,3,4
5.25,G-11,5.0,5,5
3.55,DHA Defence,11.9,3,3
13.75,DHA Defence,20.0,5,7
13.75,DHA Defence,20.0,5,6
12.5,DHA Defence,20.0,5,6
6.75,D-12,4.0,3,3
4.5,D-12,4.0,3,4
13.0,D-12,10.0,5,6
5.75,D-12,5.0,4,4
2.5,B-17,5.0,4,5
10.85,G-13,14.0,6,7
6.75,Soan Garden,20.0,6,6
9.3,G-13,10.0,6,7
8.15,G-13,10.0,6,7
8.0,G-16,20.0,6,6
3.1,I-14,6.0,5,6
2.98,I-14,6.0,5,6
3.0,CBR Town,7.0,4,6
1.05,G-15,2.5,1,1
1.85,PAF Tarnol,6.4,2,3
18.0,G-9,14.0,5,6
4.15,Top City 1,10.0,5,6
0.55,I-16,4.1,2,2
0.5,I-16,4.1,2,2
0.5,I-16,6.6,2,2
0.74,Top City 1,2.3,1,1
0.7,Top City 1,2.5,1,1
11.5,DHA Defence,20.0,6,6
14.0,D-12,10.0,6,6
10.0,D-12,8.0,4,5
3.9,D-12,4.0,3,4
11.5,D-12,10.0,5,6
2.85,Naval Anchorage,5.0,4,4
16.5,F-10,20.0,5,6
3.7,Jinnah Gardens,8.0,4,6
3.4,Jinnah Gardens,8.0,5,6
2.6,Naval Anchorage,5.0,4,5
8.5,Naval Anchorage,20.0,6,6
5.0,G-13,4.0,4,5
5.25,Soan Garden,20.0,3,4
3.7,Top City 1,10.0,5,6
0.95,H-13,3.8,3,3
125.0,Gulberg,200.0,6,6
3.01,DHA Defence,12.2,3,4
4.0,Shehzad Town,8.0,4,4
9.0,Emaar Canyon Views,26.0,5,5
5.75,Bahria Enclave,10.0,5,6
3.9,MPCHS Multi Gardens,10.0,4,6
35.5,F-10,42.0,6,6
0.8492000000000001,DHA Defence,2.5,1,1
4.25,I-14,7.0,5,6
4.3,Park View City,8.0,4,5
2.65,F-17,8.0,6,6
25.0,F-8,22.0,5,6
65.0,F-8,80.0,10,6
29.0,F-7,26.0,6,6
3.45,Jinnah Gardens,8.0,5,6
2.4,Jinnah Gardens,8.0,2,3
4.6,Top City 1,10.0,5,6
0.7,Top City 1,2.5,1,1
0.65,Top City 1,2.7,1,1
0.6,Top City 1,2.5,1,1
10.75,DHA Defence,20.0,5,6
11.9,DHA Defence,20.0,5,6
13.5,DHA Defence,20.0,6,6
2.3,MPCHS Multi Gardens,5.0,4,5
16.5,F-10,20.0,5,5
3.9,F-18,8.0,5,6
12.0,Bani Gala,22.0,7,6
9.45,G-13,10.0,6,7
13.25,I-8,12.4,9,6
75.0,E-7,32.0,6,7
5.25,Bani Gala,15.0,7,7
1.89,DHA Defence,5.1,2,2
1.8,Bhara kahu,3.7,1,1
3.85,Faisal Town,8.0,5,5
5.6,Bahria Enclave,10.0,5,6
0.75,F-17,2.5,1,1
3.15,Jinnah Gardens,8.0,5,6
3.4,Jinnah Gardens,8.0,5,6
1.5,DHA Defence,6.6,3,3
5.8,Emaar Canyon Views,10.0,5,5
6.5,DHA Defence,10.0,5,5
3.3,B-17,8.0,4,4
0.78,MPCHS Multi Gardens,3.6,2,2
2.2,MPCHS Multi Gardens,5.0,4,4
2.1,B-17,5.0,4,4
2.25,B-17,8.0,2,3
5.8,MPCHS Multi Gardens,12.0,6,6
2.1,MPCHS Multi Gardens,5.0,4,4
2.8,MPCHS Multi Gardens,5.0,4,6
0.85,Faisal Town,4.2,2,2
4.0,B-17,8.0,4,6
1.85,Capital Residencia,6.2,2,2
5.0,G-14,5.0,5,5
3.35,DHA Defence,8.0,2,2
3.45,Jinnah Gardens,7.0,5,6
9.5,F-11,10.9,5,6
2.65,Park View City,5.0,4,5
16.5,DHA Defence,20.0,6,7
5.5,Emaar Canyon Views,10.0,5,6
4.6,DHA Defence,6.0,4,5
25.0,D-12,20.0,9,7
85.0,E-7,40.0,10,6
6.85,G-11,8.0,4,4
1.75,Bani Gala,5.0,5,6
2.2,Bani Gala,6.0,4,6
4.5,Bani Gala,11.0,5,6
2.2,MPCHS Multi Gardens,5.0,4,4
2.5,MPCHS Multi Gardens,5.0,4,4
0.52,B-17,1.8,1,1
2.2,MPCHS Multi Gardens,5.0,4,4
2.65,MPCHS Multi Gardens,8.0,4,6
5.5,MPCHS Multi Gardens,12.4,5,6
2.6,MPCHS Multi Gardens,5.0,6,6
5.7,G-10,6.6,4,4
34.0,F-10,40.0,6,6
2.6,F-11,7.6,2,2
2.7,Bani Gala,8.0,4,6
4.5,G-14,4.0,4,5
26.0,Chak Shahzad Farms,400.0,1,1
3.4,F-18,8.0,6,6
10.8,G-13,14.0,5,7
8.0,DHA Defence,20.0,6,6
10.0,DHA Defence,20.0,5,6
12.0,DHA Defence,20.0,5,6
5.5,Bahria Enclave,10.0,6,7
1.4,Bani Gala,5.0,3,4
1.0,Bani Gala,4.0,3,3
15.0,F-6,10.0,3,4
25.75,F-8,20.0,4,6
4.5,Jinnah Gardens,10.0,4,5
2.5,Jinnah Gardens,5.0,4,5
1.48,H-13,4.4,2,2
1.64,H-13,4.9,2,2
11.5,D-12,10.0,6,6
27.25,F-8,26.0,5,5
10.5,DHA Defence,20.0,5,6
9.9,DHA Defence,20.0,5,6
0.45,Bahria Enclave,2.0,1,1
3.9,DHA Defence,5.0,4,5
2.5,B-17,5.0,4,4
2.01,DHA Defence,5.8,2,2
35.0,Gulberg Greens,100.0,6,6
8.0,F-10,8.7,3,3
9.9,I-8,12.0,6,6
10.0,I-8,14.0,3,3
1.25,DHA Defence,6.0,2,2
1.55,DHA Defence,6.6,3,3
10.5,DHA Defence,20.0,6,6
1.35,Chatha Bakhtawar,5.0,3,3
4.0,Chak Shahzad,8.0,5,6
1.6,Kuri Road,5.0,5,6
10.0,Green Avenue,20.0,6,6
3.9,Green Avenue,8.0,5,6
4.0,Kuri Road,10.0,6,6
1.95,Kuri Road,5.0,5,6
3.2,I-11,5.0,5,5
3.65,Jinnah Gardens,7.0,5,7
1.15,DHA Defence,3.3,1,1
5.75,D-12,5.0,4,4
6.75,DHA Defence,10.0,5,6
4.3,B-17,11.6,3,4
1.18,Islamabad Expressway,3.4,1,1
14.0,I-8,14.0,5,5
10.7,I-8,14.0,6,6
7.0,DHA Defence,10.0,5,6
8.0,Diplomatic Enclave,8.9,2,2
5.5,Diplomatic Enclave,5.1,1,1
2.2,B-17,8.0,6,6
10.75,G-13,14.0,6,6
9.0,D-12,8.0,4,4
1.95,Chatha Bakhtawar,5.0,6,6
3.5,Soan Garden,10.0,7,6
3.0,O-9,20.0,6,6
2.6,G-11,4.9,6,2
2.65,Soan Garden,7.0,6,5
0.53,Soan Garden,3.1,2,2
2.65,F-11,7.8,2,2
1.89,DHA Defence,5.1,2,2
1.93,DHA Defence,5.2,2,2
13.2,DHA Defence,20.0,5,6
5.65,D-12,5.0,4,4
4.5,I-11,6.0,5,5
22.0,F-11,22.0,7,6
16.5,G-13,20.0,7,7
16.7,G-13,20.0,8,7
3.75,Bahria Enclave,9.0,5,5
11.5,I-8,14.0,5,5
20.0,I-8,14.0,9,6
16.0,G-13,20.0,7,7
5.25,G-14,5.0,4,4
7.75,F-11,15.6,4,4
1.49,DHA Valley,8.0,3,4
1.65,CBR Town,8.0,3,3
10.75,G-13,14.0,7,7
4.75,G-11,5.3,4,4
6.35,G-13,8.0,5,6
4.5,G-11,5.6,4,5
3.25,G-13,4.4,4,5
9.0,G-13,10.9,5,6
35.0,F-8,32.0,5,6
22.0,F-11,26.0,7,6
1.06,Gulberg Greens,2.8,1,1
2.92,DHA Defence,12.0,3,4
7.5,G-13,10.0,6,6
13.7,DHA Defence,20.0,5,6
5.8,Bahria Enclave,11.0,5,5
3.4,G-13,4.0,4,5
1.0,Thanda Pani,5.0,2,2
0.72,Top City 1,2.5,1,1
2.72,Shah Allah Ditta,5.0,4,4
7.1,G-13,7.0,5,7
2.4,Bahria Enclave,5.0,3,3
10.0,Bahria Town,16.0,3,4
6.3,Bahria Enclave,10.0,5,7
3.65,G-13,4.0,4,5
50.0,F-7,42.0,6,6
4.5,Bahria Enclave,10.0,5,6
4.65,Top City 1,10.0,6,6
5.8,G-11,5.5,4,5
5.8,G-13,8.0,4,5
5.75,G-11,5.5,5,5
7.5,Karakoram Diplomatic Enclave,8.9,2,3
4.25,G-13,4.4,10,5
3.85,G-13,4.4,4,5
25.0,F-8,20.0,5,6
28.5,F-7,20.0,5,6
10.5,G-13,14.0,7,6
23.5,F-6,17.8,5,6
7.5,Soan Garden,20.0,7,6
3.6,G-11,7.2,2,2
8.3,MPCHS Multi Gardens,20.0,6,6
4.5,F-15,10.0,6,6
0.82,Soan Garden,5.0,3,3
2.95,Faisal Hills,8.0,5,6
0.5,Bahria Enclave,2.4,1,1
65.0,Chak Shahzad Farms,440.0,5,5
4.5,G-13,4.0,4,5
3.35,G-13,4.0,4,5
2.94,DHA Defence,5.2,2,2
4.3,G-13,4.4,4,5
4.1,G-13,4.4,4,5
3.0,G-13,4.4,4,4
8.5,G-13,10.9,5,6
10.9,DHA Defence,20.0,6,6
11.75,DHA Defence,20.0,5,6
11.9,DHA Defence,20.0,6,6
8.95,DHA Defence,20.0,6,6
0.48,B-17,2.0,1,1
2.49,DHA Defence,10.0,3,3
2.46,DHA Defence,10.0,3,3
2.5,DHA Defence,10.0,3,3
4.8,Bahria Enclave,10.0,5,5
9.5,F-10,10.2,3,3
58.0,F-6,46.0,6,6
90.0,F-6,40.0,9,6
45.0,F-7,40.0,6,6
94.5,G-6,74.0,6,7
9.95,DHA Defence,20.0,6,6
6.0,F-8,5.1,1,1
3.4,Jinnah Gardens,7.0,5,5
2.5,MPCHS Multi Gardens,7.0,5,5
1.53,Gulberg Greens,3.4,2,2
2.65,Soan Garden,5.0,5,5
0.65,Gulberg Greens,2.4,1,1
1.3,Bahria Enclave,6.3,2,2
1.38,Bahria Enclave,7.5,3,3
2.7,E-18,8.0,5,5
1.78,E-18,8.0,3,3
7.25,PWD Housing Scheme,12.0,6,6
5.0,E-18,24.0,7,6
1.5,Gulshan-e-Sehat 1 - Block D,5.0,5,5
1.85,E-11,6.2,2,2
11.5,DHA Defence,20.0,5,6
2.35,Bahria Enclave,5.0,3,4
0.65,Jinnah Gardens,2.9,2,2
9.15,Naval Anchorage,20.0,7,6
8.75,G-11,8.0,5,6
5.9,G-11,5.0,5,6
0.22,Bahria Enclave,2.4,1,1
4.75,MPCHS Multi Gardens,10.9,6,6
16.5,G-13,20.0,6,6
12.25,DHA Defence,20.0,6,6
2.35,B-17,5.0,4,6
3.3,Bani Gala,8.0,4,4
1.35,Bahria Enclave,7.5,3,3
16.0,Bahria Garden City,46.0,5,6
1.1,E-18,5.6,2,3
5.75,D-12,5.0,4,4
7.1,G-13,8.0,4,5
4.6,F-11,11.6,4,4
3.7,B-17,8.0,5,6
1.25,DHA Defence,26.0,3,1
14.75,DHA Defence,20.0,5,5
13.5,DHA Defence,20.0,5,5
4.9,G-13,4.0,4,4
7.0,G-10,6.7,5,6
3.4,G-15,8.0,5,5
2.7,Faisal Town,5.0,5,5
7.75,DHA Defence,20.0,6,6
2.79,DHA Defence,6.0,2,3
1.8,Ghauri Town Phase 5,5.0,4,4
1.49,Bahria Enclave,6.4,2,3
2.8,Gulshan-e-Khudadad,8.0,4,5
1.04,Bahria Enclave,2.6,1,1
7.8,MPCHS Multi Gardens,14.0,10,6
0.7,B-17,2.4,2,2
2.3,F-18,5.6,4,5
12.0,Bani Gala,24.0,5,6
14.5,F-6,10.0,4,3
10.6,DHA Defence,20.0,5,5
14.75,DHA Defence,20.0,5,5
13.95,DHA Defence,20.0,5,6
12.5,DHA Defence,20.0,5,6
17.5,F-10,20.0,7,6
19.5,F-11,20.0,8,6
22.5,F-10,24.0,8,6
25.0,F-7,26.0,6,6
2.8,B-17,5.0,4,5
1.6,Gulshan-e-Sehat 2 - Block G,7.0,2,3
4.25,MPCHS Multi Gardens,8.0,5,7
1.4,Bani Gala,5.0,4,4
4.0,Gulberg Residencia,7.0,5,6
2.25,Bhara kahu,5.0,4,5
7.25,G-10,6.0,7,7
2.65,DHA Defence,10.0,3,3
5.5,MPCHS Multi Gardens,10.0,5,6
10.9,DHA Defence,20.0,6,6
11.9,DHA Defence,20.0,6,6
3.4,Jinnah Gardens,7.0,5,6
3.45,Jinnah Gardens,7.0,5,6
4.5,Jinnah Gardens,10.0,4,4
2.4,Jinnah Gardens,7.0,2,3
1.19,Bahria Enclave,6.1,2,2
32.0,F-10,40.0,8,6
17.0,F-10,20.0,9,6
24.0,F-8,22.0,4,4
3.1,Bhara kahu,12.0,6,6
8.5,E-11,10.9,8,6
22.0,F-11,20.0,8,6
16.0,F-10,20.0,7,6
7.0,E-11,10.0,6,6
5.25,DHA Defence,10.0,5,7
2.29,Gulberg Residencia,7.0,5,5
3.9,Gulberg Residencia,7.0,5,6
4.25,Soan Garden,10.0,7,6
3.9,DHA Defence,14.2,4,5
1.85,E-11,7.1,2,3
0.41,F-17,3.7,2,2
11.85,G-13,14.0,6,6
17.0,G-13,20.0,6,6
20.0,G-14,26.0,8,6
14.5,DHA Defence,20.0,5,6
11.9,DHA Defence,20.0,5,6
3.25,Bahria Enclave,8.0,5,6
4.3,B-17,8.0,5,6
7.25,Fazaia Housing Scheme,24.0,5,6
2.95,G-11,3.6,4,3
0.695,DHA Valley,5.0,2,2
16.0,F-11,20.0,6,6
15.0,E-11,20.0,9,6
7.5,E-11,8.0,6,6
7.9,E-11,8.0,5,5
4.15,Bahria Enclave,9.0,5,5
4.5,Bahria Enclave,10.0,5,5
13.75,DHA Defence,20.0,5,6
0.56,Taramrri,3.0,2,2
8.2,F-10,8.7,3,3
13.5,Karakoram Diplomatic Enclave,11.8,3,4
2.15,G-8,4.9,3,3
0.85,B-17,4.7,2,2
1.1,Islamabad Expressway,2.6,1,1
7.5,Soan Garden,20.0,7,7
0.5,Jinnah Gardens,3.1,2,2
1.95,O-9,5.0,4,4
11.4,D-12,10.0,6,6
3.3,DHA Defence,12.0,3,3
5.1,G-13,7.0,5,5
1.5,Gulberg Greens,3.3,1,1
14.0,F-11,16.0,7,7
170.0,E-7,50.0,10,7
12.75,DHA Defence,20.0,6,6
12.75,DHA Defence,20.0,6,6
12.0,DHA Defence,20.0,6,7
12.75,DHA Defence,20.0,6,7
3.5,DHA Defence,5.0,3,4
1.9,Bani Gala,5.0,4,5
8.75,Constitution Avenue,8.8,2,3
4.9,G-11,8.9,3,3
24.5,F-10,20.0,5,6
2.0,B-17,11.6,4,4
10.0,F-11,10.0,4,5
13.0,E-11,20.0,6,6
1.35,Top City 1,6.4,3,3
3.85,MPCHS Multi Gardens,7.0,5,5
14.9,DHA Defence,20.0,5,6
1.3,Bani Gala,5.0,2,2
16.1,DHA Defence,20.0,9,7
1.4,Bani Gala,5.0,3,4
13.9,DHA Defence,20.0,5,6
5.25,Gulberg Residencia,10.0,5,6
5.25,G-13,8.0,6,7
8.0,G-13,10.9,6,7
3.25,G-13,4.4,4,5
175.0,F-6,96.0,5,5
30.0,F-10,32.0,5,5
8.9,F-10,9.0,3,3
23.0,One Constitution Avenue,19.3,4,6
9.0,F-8,9.0,2,3
32.0,F-10,40.0,5,6
32.0,F-10,20.0,5,7
4.9,G-11,7.9,3,3
4.9,G-11,7.9,3,3
1.5,Gulshan-e-Sehat 1 - Hamza Block,5.0,5,5
9.0,G-9,14.0,5,5
4.6,DHA Defence,8.0,4,5
1.55,DHA Defence,5.1,3,3
0.5,I-16,4.1,2,2
0.55,I-16,4.1,2,2
7.75,G-13,10.0,5,5
5.85,B-17,10.0,9,6
2.3,Bani Gala,6.0,4,4
8.5,D-12,10.0,4,4
4.75,D-12,4.0,3,4
3.0,I-14,6.0,5,5
8.5,G-13,10.0,6,6
4.35,Park View City,8.0,4,5
3.9,DHA Defence,14.2,4,5
2.65,Naval Anchorage,5.0,4,4
35.0,F-7,26.0,6,6
3.5,G-11,5.6,2,2
4.1,G-11,6.9,2,2
8.9,F-10,9.0,3,3
11.5,D-12,10.0,5,6
32.0,F-10,22.0,5,6
30.0,F-8,26.0,6,6
22.0,F-10,20.0,6,6
0.5,I-16,6.6,2,2
18.5,I-8,24.0,8,7
13.5,G-10,20.0,6,6
2.6,DHA Defence,9.8,3,4
1.55,DHA Defence,5.1,3,3
3.5,Gulberg Greens,7.8,2,2
7.0,G-13,7.0,6,6
3.85,B-17,10.0,4,4
2.6,Jinnah Gardens,5.0,4,7
4.0,Faisal Hills,8.0,6,7
13.0,D-12,10.0,5,5
12.0,D-12,10.0,6,6
5.9,Naval Anchorage,20.0,4,5
2.5,F-10,1.8,1,1
8.5,F-10,9.0,3,4
16.0,F-10,12.4,4,5
20.0,G-14,20.0,6,6
4.25,D-12,4.0,3,4
8.0,E-11,10.0,4,5
7.0,E-11,9.0,4,6
15.5,E-11,20.0,4,5
1.02,B-17,4.7,2,2
12.0,DHA Defence,20.0,5,6
11.8,DHA Defence,20.0,6,7
7.8,Naval Anchorage,20.0,6,6
6.3,G-11,8.0,5,5
1.95,Bani Gala,5.0,3,3
1.05,B-17,6.7,3,3
1.55,Top City 1,5.5,2,2
1.25,Bani Gala,5.0,2,3
2.0,Bani Gala,8.0,4,5
2.4,Bani Gala,7.0,4,6
2.5,Bani Gala,6.0,5,6
5.3,E-11,8.0,5,6
25.0,D-12,20.0,9,6
12.5,D-12,10.0,5,6
3.95,G-14,4.0,4,4
4.75,D-12,4.0,3,4
5.75,D-12,5.0,3,4
2.65,Soan Garden,5.0,5,6
2.35,B-17,5.0,4,5
11.65,DHA Defence,20.0,6,7
13.9,DHA Defence,20.0,5,6
10.5,DHA Defence,20.0,5,6
11.5,DHA Defence,20.0,5,6
3.8,MPCHS Multi Gardens,10.0,7,6
0.7,PECHS,3.7,2,2
7.9,MPCHS Multi Gardens,14.0,6,6
0.55,MPCHS Multi Gardens,3.3,2,2
